Ngày,Khu vực,Nhà Phân Phối,Sản phẩm, Doanh thu 
02-Dec-2020,Miền Nam,VNPT,SP 05, 91.80 
30-Nov-2020,Miền Trung,Viettel,SP 08, 68.16 
27-Nov-2019,Miền Trung,FPT,SP 04, 68.00 
19-Nov-2019,Miền Trung,Gà Excel,SP 09, 24.50 
16-Nov-2019,Miền Nam,VNPT,SP 10, 54.18 
17-Dec-2020,Miền Nam,Viettel,SP 07, 70.50 
13-Nov-2020,Miền Bắc,FPT,SP 05, 22.95 
13-Dec-2020,Miền Nam,Gà Excel,SP 05, 45.90 
17-Oct-2019,Miền Trung,VNPT,SP 06, 203.70 
30-Nov-2019,Miền Bắc,Viettel,SP 08, 68.85 
28-Dec-2019,Miền Bắc,FPT,SP 10, 27.50 
24-Dec-2020,Miền Bắc,Gà Excel,SP 05, 573.75 
22-Dec-2019,Miền Nam,VNPT,SP 02, 399.00 
17-Dec-2019,Miền Trung,Viettel,SP 02, 38.70 
06-Dec-2019,Miền Nam,FPT,SP 04, 102.00 
20-Nov-2019,Miền Trung,Gà Excel,SP 04, 33.66 
21-Jan-2019,Miền Trung,VNPT,SP 04, 100.47 
28-Sep-2019,Miền Bắc,Viettel,SP 02, 59.25 
16-Dec-2020,Miền Nam,FPT,SP 03, 24.38 
01-Nov-2020,Miền Nam,Gà Excel,SP 08, 66.78 
27-Sep-2019,Miền Bắc,VNPT,SP 04, 34.00 
06-Mar-2019,Miền Trung,Viettel,SP 10, 568.84 
12-Dec-2020,Miền Nam,FPT,SP 07, 45.59 
03-Aug-2019,Miền Bắc,Gà Excel,SP 09, 25.00 
18-Nov-2019,Miền Nam,VNPT,SP 08, 67.47 
08-Dec-2019,Miền Trung,Viettel,SP 08, 44.98 
13-Nov-2020,Miền Bắc,FPT,SP 09, 48.50 
12-Jul-2020,Miền Nam,Gà Excel,SP 04, 33.66 
29-Nov-2020,Miền Trung,VNPT,SP 05, 68.85 
28-Nov-2020,Miền Bắc,Viettel,SP 05, 66.78 
09-Dec-2019,Miền Nam,FPT,SP 05, 67.82 
18-Jul-2020,Miền Bắc,Gà Excel,SP 03, 75.00 
02-Nov-2020,Miền Trung,VNPT,SP 02, 39.50 
09-Dec-2019,Miền Trung,Viettel,SP 09, 48.75 
04-Dec-2020,Miền Bắc,FPT,SP 07, 70.50 
09-Dec-2020,Miền Trung,Gà Excel,SP 10, 81.26 
28-Nov-2019,Miền Nam,VNPT,SP 08, 68.85 
13-Nov-2019,Miền Trung,Viettel,SP 06, 60.00 
04-Dec-2020,Miền Trung,FPT,SP 01, 159.90 
09-Jun-2020,Miền Bắc,Gà Excel,SP 04, 66.64 
13-Jul-2019,Miền Nam,VNPT,SP 08, 22.95 
06-Nov-2019,Miền Nam,Viettel,SP 02, 39.90 
19-Nov-2020,Miền Trung,FPT,SP 10, 82.50 
19-Dec-2020,Miền Trung,Gà Excel,SP 07, 446.50 
21-Nov-2020,Miền Trung,VNPT,SP 03, 24.75 
31-Dec-2020,Miền Bắc,Viettel,SP 05, 67.82 
10-Nov-2019,Miền Trung,FPT,SP 09, 50.00 
25-Nov-2019,Miền Trung,Gà Excel,SP 10, 82.50 
18-Nov-2020,Miền Trung,VNPT,SP 05, 45.90 
13-Dec-2020,Miền Nam,Viettel,SP 08, 160.65 
10-Dec-2019,Miền Trung,FPT,SP 05, 66.78 
04-Dec-2019,Miền Nam,Gà Excel,SP 02, 19.95 
05-Nov-2019,Miền Trung,VNPT,SP 08, 45.90 
15-Dec-2020,Miền Nam,Viettel,SP 09, 49.25 
27-Dec-2020,Miền Bắc,FPT,SP 08, 45.90 
25-Aug-2019,Miền Nam,Gà Excel,SP 05, 68.85 
22-Dec-2020,Miền Trung,VNPT,SP 05, 45.90 
14-Dec-2020,Miền Nam,Viettel,SP 06, 29.70 
19-Dec-2020,Miền Nam,FPT,SP 07, 274.95 
22-Dec-2020,Miền Trung,Gà Excel,SP 04, 98.94 
14-Nov-2019,Miền Trung,VNPT,SP 07, 70.50 
03-Feb-2019,Miền Nam,Viettel,SP 09, 24.25 
27-Dec-2019,Miền Nam,FPT,SP 05, 22.95 
27-Nov-2019,Miền Trung,Gà Excel,SP 02, 38.90 
12-Jul-2019,Miền Bắc,VNPT,SP 05, 45.90 
10-Nov-2020,Miền Trung,Viettel,SP 04, 265.20 
29-Jan-2019,Miền Trung,FPT,SP 09, 24.63 
23-Dec-2019,Miền Trung,Gà Excel,SP 02, 19.45 
03-Aug-2020,Miền Trung,VNPT,SP 04, 99.96 
01-Nov-2020,Miền Nam,Viettel,SP 02, 19.95 
21-Dec-2020,Miền Nam,FPT,SP 08, 45.21 
25-Nov-2019,Miền Trung,Gà Excel,SP 04, 136.00 
30-Dec-2020,Miền Nam,VNPT,SP 07, 23.27 
22-Dec-2020,Miền Nam,Viettel,SP 05, 45.44 
30-Dec-2019,Miền Trung,FPT,SP 08, 44.52 
02-Dec-2020,Miền Nam,Gà Excel,SP 02, 39.90 
13-Oct-2019,Miền Nam,VNPT,SP 02, 19.95 
14-Dec-2020,Miền Trung,Viettel,SP 04, 170.00 
27-Dec-2019,Miền Trung,FPT,SP 04, 68.00 
29-Dec-2019,Miền Nam,Gà Excel,SP 05, 22.49 
31-Dec-2020,Miền Bắc,VNPT,SP 08, 91.80 
08-Dec-2019,Miền Trung,Viettel,SP 02, 59.85 
23-Nov-2019,Miền Trung,FPT,SP 04, 102.00 
08-Dec-2019,Miền Nam,Gà Excel,SP 09, 350.00 
19-Feb-2019,Miền Trung,VNPT,SP 01, 319.80 
13-Dec-2019,Miền Nam,Viettel,SP 03, 24.75 
11-Dec-2020,Miền Trung,FPT,SP 01, 159.90 
05-Dec-2019,Miền Nam,Gà Excel,SP 05, 321.30 
25-Mar-2019,Miền Nam,VNPT,SP 04, 100.47 
21-Nov-2020,Miền Nam,Viettel,SP 08, 91.80 
10-Dec-2019,Miền Trung,FPT,SP 10, 55.00 
07-May-2020,Miền Nam,Gà Excel,SP 02, 39.50 
30-Nov-2019,Miền Bắc,VNPT,SP 02, 59.85 
14-Nov-2020,Miền Nam,Viettel,SP 04, 68.00 
13-Nov-2020,Miền Trung,FPT,SP 02, 39.90 
31-Dec-2020,Miền Nam,Gà Excel,SP 08, 45.21 
17-Apr-2019,Miền Nam,VNPT,SP 02, 19.95 
07-Dec-2019,Miền Trung,Viettel,SP 08, 111.31 
27-Nov-2020,Miền Trung,FPT,SP 06, 570.00 
26-Feb-2020,Miền Nam,Gà Excel,SP 04, 99.96 
10-Dec-2020,Miền Trung,VNPT,SP 04, 67.32 
21-Dec-2019,Miền Bắc,Viettel,SP 04, 34.00 
15-Nov-2020,Miền Trung,FPT,SP 08, 68.16 
10-Nov-2019,Miền Trung,Gà Excel,SP 05, 422.97 
04-Mar-2019,Miền Nam,VNPT,SP 04, 68.00 
29-Jan-2020,Miền Nam,Viettel,SP 04, 102.00 
06-May-2019,Miền Trung,FPT,SP 04, 131.92 
05-Apr-2020,Miền Nam,Gà Excel,SP 09, 25.00 
25-Nov-2020,Miền Trung,VNPT,SP 03, 49.25 
05-Jul-2020,Miền Nam,Viettel,SP 09, 48.50 
26-Dec-2020,Miền Bắc,FPT,SP 08, 44.52 
10-Apr-2020,Miền Trung,Gà Excel,SP 09, 48.75 
04-Dec-2020,Miền Bắc,VNPT,SP 09, 50.00 
14-Nov-2019,Miền Trung,Viettel,SP 02, 97.76 
11-Dec-2019,Miền Trung,FPT,SP 09, 48.75 
11-Mar-2019,Miền Trung,Gà Excel,SP 01, 79.95 
25-Nov-2020,Miền Trung,VNPT,SP 04, 67.32 
21-Nov-2019,Miền Nam,Viettel,SP 02, 59.85 
04-Mar-2019,Miền Trung,FPT,SP 02, 39.90 
18-Nov-2020,Miền Bắc,Gà Excel,SP 04, 65.96 
02-Nov-2019,Miền Trung,VNPT,SP 05, 68.16 
28-Dec-2020,Miền Nam,Viettel,SP 04, 99.45 
06-Nov-2019,Miền Nam,FPT,SP 06, 29.10 
22-Dec-2020,Miền Trung,Gà Excel,SP 09, 48.75 
17-Feb-2020,Miền Bắc,VNPT,SP 09, 73.50 
06-Aug-2020,Miền Bắc,Viettel,SP 04, 34.00 
13-May-2020,Miền Nam,FPT,SP 04, 740.52 
19-Nov-2020,Miền Trung,Gà Excel,SP 08, 22.95 
21-Nov-2019,Miền Bắc,VNPT,SP 05, 425.15 
17-Jul-2020,Miền Nam,Viettel,SP 06, 59.10 
16-Dec-2019,Miền Nam,FPT,SP 04, 306.00 
12-Nov-2019,Miền Nam,Gà Excel,SP 06, 60.00 
28-Jan-2020,Miền Bắc,VNPT,SP 06, 120.00 
23-Nov-2019,Miền Bắc,Viettel,SP 04, 33.32 
19-Oct-2019,Miền Bắc,FPT,SP 05, 22.38 
26-Dec-2020,Miền Nam,Gà Excel,SP 08, 44.75 
02-Oct-2019,Miền Bắc,VNPT,SP 07, 23.50 
02-Mar-2019,Miền Bắc,Viettel,SP 02, 19.75 
10-Nov-2019,Miền Nam,FPT,SP 04, 234.43 
04-Nov-2020,Miền Trung,Gà Excel,SP 08, 22.72 
19-Nov-2020,Miền Trung,VNPT,SP 04, 67.32 
28-Dec-2020,Miền Trung,Viettel,SP 04, 68.00 
26-May-2019,Miền Nam,FPT,SP 04, 67.32 
13-Nov-2020,Miền Bắc,Gà Excel,SP 02, 39.90 
15-Dec-2020,Miền Trung,VNPT,SP 05, 67.82 
16-Nov-2020,Miền Nam,Viettel,SP 08, 22.95 
20-Nov-2020,Miền Nam,FPT,SP 04, 68.00 
21-Dec-2020,Miền Trung,Gà Excel,SP 07, 188.00 
05-Feb-2020,Miền Bắc,VNPT,SP 05, 68.85 
07-Nov-2019,Miền Trung,Viettel,SP 03, 243.75 
11-Dec-2019,Miền Trung,FPT,SP 05, 68.85 
26-Jun-2020,Miền Nam,Gà Excel,SP 10, 55.00 
14-Dec-2019,Miền Trung,VNPT,SP 04, 100.98 
06-Dec-2020,Miền Nam,Viettel,SP 03, 98.50 
29-Nov-2019,Miền Nam,FPT,SP 01, 159.90 
24-Nov-2019,Miền Nam,Gà Excel,SP 04, 68.00 
30-Dec-2019,Miền Bắc,VNPT,SP 05, 68.85 
06-Dec-2019,Miền Bắc,Viettel,SP 08, 44.75 
23-Nov-2019,Miền Nam,FPT,SP 03, 73.50 
27-Dec-2019,Miền Nam,Gà Excel,SP 02, 39.90 
10-Nov-2020,Miền Nam,VNPT,SP 05, 404.84 
14-Mar-2019,Miền Trung,Viettel,SP 02, 19.95 
22-Nov-2019,Miền Bắc,FPT,SP 01, 239.85 
01-Nov-2020,Miền Trung,Gà Excel,SP 05, 68.85 
05-Jan-2019,Miền Nam,VNPT,SP 01, 319.80 
10-Aug-2019,Miền Trung,Viettel,SP 01, 239.85 
24-Dec-2019,Miền Bắc,FPT,SP 04, 560.66 
29-Nov-2019,Miền Bắc,Gà Excel,SP 02, 79.80 
29-Nov-2019,Miền Nam,VNPT,SP 09, 74.25 
21-Nov-2020,Miền Bắc,Viettel,SP 03, 24.50 
02-Dec-2019,Miền Trung,FPT,SP 05, 68.16 
18-Nov-2019,Miền Trung,Gà Excel,SP 05, 67.13 
25-Dec-2019,Miền Bắc,VNPT,SP 05, 22.95 
19-Jul-2019,Miền Bắc,Viettel,SP 08, 67.13 
30-Nov-2019,Miền Trung,FPT,SP 04, 68.00 
21-Dec-2020,Miền Nam,Gà Excel,SP 02, 39.10 
19-Nov-2020,Miền Trung,VNPT,SP 02, 39.90 
28-Nov-2019,Miền Nam,Viettel,SP 05, 44.75 
02-Nov-2020,Miền Bắc,FPT,SP 08, 67.82 
29-Dec-2020,Miền Trung,Gà Excel,SP 03, 74.25 
08-Nov-2020,Miền Bắc,VNPT,SP 08, 68.85 
15-Dec-2020,Miền Nam,Viettel,SP 06, 88.65 
27-Dec-2019,Miền Bắc,FPT,SP 04, 33.15 
19-Nov-2020,Miền Nam,Gà Excel,SP 04, 408.00 
26-Dec-2020,Miền Nam,VNPT,SP 07, 70.50 
19-Nov-2019,Miền Nam,Viettel,SP 04, 816.00 
21-Nov-2019,Miền Trung,FPT,SP 07, 70.50 
01-Nov-2020,Miền Trung,Gà Excel,SP 04, 68.00 
14-Nov-2020,Miền Nam,VNPT,SP 08, 44.52 
12-Nov-2020,Miền Nam,Viettel,SP 02, 59.85 
12-Dec-2020,Miền Nam,FPT,SP 02, 38.70 
07-Nov-2019,Miền Bắc,Gà Excel,SP 05, 22.38 
26-Dec-2020,Miền Trung,VNPT,SP 04, 100.47 
11-Nov-2020,Miền Bắc,Viettel,SP 08, 44.52 
26-Dec-2019,Miền Nam,FPT,SP 04, 66.30 
08-Apr-2019,Miền Trung,Gà Excel,SP 08, 45.90 
18-Dec-2019,Miền Bắc,VNPT,SP 07, 47.00 
04-Sep-2019,Miền Nam,Viettel,SP 04, 32.98 
31-Dec-2020,Miền Bắc,FPT,SP 03, 75.00 
14-Nov-2020,Miền Trung,Gà Excel,SP 09, 49.00 
28-Feb-2019,Miền Nam,VNPT,SP 05, 45.90 
03-Nov-2019,Miền Bắc,Viettel,SP 06, 90.00 
24-Oct-2020,Miền Trung,FPT,SP 07, 47.00 
23-Dec-2019,Miền Nam,Gà Excel,SP 06, 29.55 
29-Dec-2019,Miền Bắc,VNPT,SP 04, 32.98 
20-Aug-2020,Miền Nam,Viettel,SP 09, 49.50 
19-Nov-2019,Miền Trung,FPT,SP 08, 45.90 
05-Dec-2020,Miền Trung,Gà Excel,SP 09, 25.00 
27-Dec-2019,Miền Trung,VNPT,SP 05, 22.95 
23-Dec-2020,Miền Nam,Viettel,SP 09, 75.00 
23-Dec-2020,Miền Trung,FPT,SP 05, 67.13 
06-Dec-2020,Miền Nam,Gà Excel,SP 08, 22.61 
18-Nov-2019,Miền Bắc,VNPT,SP 08, 68.85 
22-Dec-2019,Miền Nam,Viettel,SP 04, 32.98 
24-Dec-2019,Miền Nam,FPT,SP 05, 45.90 
25-Dec-2019,Miền Bắc,Gà Excel,SP 08, 22.38 
06-May-2019,Miền Nam,VNPT,SP 04, 66.30 
17-Jul-2020,Miền Bắc,Viettel,SP 02, 19.95 
24-Nov-2019,Miền Trung,FPT,SP 07, 483.63 
23-Nov-2019,Miền Bắc,Gà Excel,SP 05, 44.52 
22-Dec-2019,Miền Trung,VNPT,SP 07, 94.00 
01-Nov-2019,Miền Bắc,Viettel,SP 02, 59.85 
18-Nov-2020,Miền Trung,FPT,SP 04, 66.64 
03-Mar-2020,Miền Nam,Gà Excel,SP 02, 19.75 
25-Nov-2019,Miền Bắc,VNPT,SP 05, 22.61 
16-Nov-2019,Miền Nam,Viettel,SP 04, 102.00 
30-Dec-2019,Miền Bắc,FPT,SP 10, 55.00 
30-Nov-2019,Miền Nam,Gà Excel,SP 03, 98.00 
07-Dec-2020,Miền Nam,VNPT,SP 06, 60.00 
11-Dec-2019,Miền Nam,Viettel,SP 02, 77.41 
11-Dec-2019,Miền Trung,FPT,SP 08, 45.90 
06-Dec-2020,Miền Nam,Gà Excel,SP 05, 22.95 
19-Nov-2020,Miền Nam,VNPT,SP 02, 79.80 
03-Nov-2020,Miền Trung,Viettel,SP 06, 750.00 
04-Nov-2019,Miền Bắc,FPT,SP 02, 39.90 
30-Dec-2020,Miền Trung,Gà Excel,SP 06, 58.80 
01-Dec-2020,Miền Nam,VNPT,SP 05, 45.21 
10-Aug-2020,Miền Nam,Viettel,SP 07, 70.50 
27-Nov-2020,Miền Nam,FPT,SP 02, 39.30 
09-Dec-2019,Miền Trung,Gà Excel,SP 08, 45.90 
18-May-2019,Miền Bắc,VNPT,SP 05, 45.21 
08-Dec-2020,Miền Bắc,Viettel,SP 04, 33.32 
29-Dec-2020,Miền Nam,FPT,SP 02, 59.85 
08-Apr-2020,Miền Nam,Gà Excel,SP 05, 45.90 
06-Dec-2020,Miền Bắc,VNPT,SP 10, 53.63 
16-Jun-2020,Miền Trung,Viettel,SP 06, 59.10 
26-Jul-2019,Miền Bắc,FPT,SP 08, 45.90 
06-Nov-2020,Miền Nam,Gà Excel,SP 08, 22.26 
09-Nov-2020,Miền Nam,VNPT,SP 03, 75.00 
03-Dec-2019,Miền Bắc,Viettel,SP 09, 50.00 
04-Nov-2020,Miền Nam,FPT,SP 04, 66.64 
29-Dec-2019,Miền Nam,Gà Excel,SP 03, 100.00 
25-Dec-2020,Miền Nam,VNPT,SP 04, 34.00 
02-Nov-2019,Miền Bắc,Viettel,SP 09, 50.00 
05-Dec-2020,Miền Trung,FPT,SP 04, 468.86 
16-Dec-2019,Miền Trung,Gà Excel,SP 08, 45.44 
15-Nov-2019,Miền Nam,VNPT,SP 05, 45.21 
02-Mar-2020,Miền Trung,Viettel,SP 04, 68.00 
22-Nov-2019,Miền Nam,FPT,SP 05, 22.38 
30-Nov-2020,Miền Trung,Gà Excel,SP 02, 38.90 
08-Nov-2019,Miền Nam,VNPT,SP 03, 75.00 
14-Nov-2020,Miền Trung,Viettel,SP 06, 88.65 
13-Dec-2019,Miền Trung,FPT,SP 02, 19.95 
11-Nov-2020,Miền Nam,Gà Excel,SP 09, 25.00 
25-Nov-2019,Miền Nam,VNPT,SP 01, 79.95 
19-Nov-2019,Miền Nam,Viettel,SP 08, 67.82 
29-May-2019,Miền Bắc,FPT,SP 03, 48.75 
11-Nov-2019,Miền Nam,Gà Excel,SP 08, 22.95 
27-Feb-2019,Miền Trung,VNPT,SP 05, 22.26 
26-May-2019,Miền Nam,Viettel,SP 08, 45.90 
16-Nov-2019,Miền Trung,FPT,SP 05, 321.30 
24-Nov-2019,Miền Bắc,Gà Excel,SP 10, 55.00 
08-Oct-2019,Miền Trung,VNPT,SP 08, 22.61 
13-Jun-2019,Miền Bắc,Viettel,SP 08, 44.75 
06-Dec-2019,Miền Trung,FPT,SP 08, 22.61 
29-Dec-2019,Miền Trung,Gà Excel,SP 05, 44.52 
30-Nov-2020,Miền Nam,VNPT,SP 02, 328.98 
13-Nov-2020,Miền Nam,Viettel,SP 08, 45.90 
14-Dec-2019,Miền Nam,FPT,SP 04, 102.00 
07-Jan-2020,Miền Bắc,Gà Excel,SP 05, 45.90 
27-Nov-2019,Miền Nam,VNPT,SP 02, 59.85 
20-Sep-2019,Miền Bắc,Viettel,SP 03, 24.38 
07-Nov-2019,Miền Trung,FPT,SP 01, 78.75 
19-Dec-2019,Miền Trung,Gà Excel,SP 02, 299.25 
25-Dec-2020,Miền Bắc,VNPT,SP 02, 59.85 
10-Nov-2019,Miền Nam,Viettel,SP 01, 232.65 
11-Dec-2020,Miền Nam,FPT,SP 03, 24.75 
02-Mar-2020,Miền Nam,Gà Excel,SP 02, 19.35 
09-Nov-2019,Miền Trung,VNPT,SP 08, 22.49 
06-Nov-2019,Miền Bắc,Viettel,SP 02, 59.85 
25-Aug-2020,Miền Trung,FPT,SP 04, 68.00 
03-Dec-2020,Miền Bắc,Gà Excel,SP 01, 233.85 
30-Apr-2020,Miền Nam,VNPT,SP 06, 90.00 
02-May-2020,Miền Nam,Viettel,SP 08, 22.95 
02-Dec-2020,Miền Trung,FPT,SP 07, 540.50 
15-Dec-2019,Miền Bắc,Gà Excel,SP 06, 30.00 
26-Nov-2019,Miền Nam,VNPT,SP 08, 68.85 
23-Nov-2019,Miền Nam,Viettel,SP 02, 19.65 
29-Dec-2020,Miền Trung,FPT,SP 06, 58.50 
24-Dec-2020,Miền Trung,Gà Excel,SP 02, 159.60 
03-Dec-2019,Miền Nam,VNPT,SP 03, 24.63 
10-Nov-2019,Miền Trung,Viettel,SP 04, 99.96 
27-Dec-2020,Miền Nam,FPT,SP 08, 45.21 
26-Dec-2020,Miền Bắc,Gà Excel,SP 06, 90.00 
23-Nov-2019,Miền Trung,VNPT,SP 08, 114.75 
07-Sep-2019,Miền Nam,Viettel,SP 09, 536.25 
21-Apr-2020,Miền Nam,FPT,SP 08, 226.06 
05-Dec-2020,Miền Nam,Gà Excel,SP 09, 75.00 
26-Jan-2019,Miền Nam,VNPT,SP 09, 49.25 
07-Nov-2019,Miền Trung,Viettel,SP 02, 19.95 
27-Nov-2019,Miền Nam,FPT,SP 01, 232.65 
03-Dec-2020,Miền Nam,Gà Excel,SP 01, 879.45 
24-Nov-2020,Miền Nam,VNPT,SP 06, 90.00 
15-Dec-2020,Miền Trung,Viettel,SP 02, 38.90 
13-Dec-2019,Miền Nam,FPT,SP 02, 58.65 
22-Nov-2019,Miền Trung,Gà Excel,SP 05, 313.27 
01-Dec-2019,Miền Nam,VNPT,SP 02, 19.65 
06-Feb-2019,Miền Trung,Viettel,SP 04, 100.98 
11-Nov-2019,Miền Nam,FPT,SP 04, 33.32 
15-Dec-2019,Miền Trung,Gà Excel,SP 08, 67.47 
17-Dec-2020,Miền Trung,VNPT,SP 02, 59.85 
21-Nov-2019,Miền Trung,Viettel,SP 05, 22.95 
15-Nov-2019,Miền Nam,FPT,SP 07, 45.59 
16-Aug-2020,Miền Trung,Gà Excel,SP 09, 50.00 
25-Dec-2019,Miền Nam,VNPT,SP 03, 50.00 
20-Mar-2019,Miền Nam,Viettel,SP 04, 33.49 
26-Feb-2019,Miền Bắc,FPT,SP 03, 500.00 
19-Nov-2020,Miền Trung,Gà Excel,SP 05, 45.21 
27-Apr-2020,Miền Nam,VNPT,SP 04, 68.00 
15-Sep-2020,Miền Nam,Viettel,SP 08, 68.16 
27-Nov-2019,Miền Nam,FPT,SP 07, 47.00 
20-Dec-2019,Miền Trung,Gà Excel,SP 07, 69.80 
08-Apr-2019,Miền Nam,VNPT,SP 05, 22.72 
24-Dec-2020,Miền Nam,Viettel,SP 06, 30.00 
19-Nov-2019,Miền Trung,FPT,SP 04, 134.64 
29-Nov-2019,Miền Bắc,Gà Excel,SP 08, 22.95 
02-Nov-2019,Miền Nam,VNPT,SP 06, 235.20 
13-Dec-2019,Miền Trung,Viettel,SP 08, 44.75 
24-Jul-2020,Miền Nam,FPT,SP 09, 49.00 
27-May-2019,Miền Bắc,Gà Excel,SP 09, 75.00 
01-Dec-2019,Miền Nam,VNPT,SP 04, 68.00 
23-Dec-2019,Miền Nam,Viettel,SP 09, 75.00 
17-Dec-2019,Miền Nam,FPT,SP 07, 511.83 
03-Dec-2020,Miền Nam,Gà Excel,SP 02, 59.85 
27-Dec-2020,Miền Nam,VNPT,SP 04, 34.00 
04-Dec-2020,Miền Nam,Viettel,SP 02, 19.65 
25-Nov-2020,Miền Nam,FPT,SP 02, 39.90 
06-Dec-2019,Miền Nam,Gà Excel,SP 07, 46.06 
21-Nov-2019,Miền Bắc,VNPT,SP 02, 79.80 
28-Feb-2020,Miền Nam,Viettel,SP 01, 239.85 
01-Dec-2020,Miền Trung,FPT,SP 04, 33.49 
30-Dec-2019,Miền Nam,Gà Excel,SP 03, 24.50 
30-Sep-2019,Miền Nam,VNPT,SP 04, 102.00 
13-Oct-2019,Miền Nam,Viettel,SP 04, 66.98 
17-Dec-2019,Miền Bắc,FPT,SP 05, 22.61 
25-Nov-2020,Miền Trung,Gà Excel,SP 06, 89.10 
21-May-2019,Miền Nam,VNPT,SP 04, 102.00 
08-Mar-2020,Miền Bắc,Viettel,SP 09, 74.25 
21-Jan-2020,Miền Trung,FPT,SP 09, 566.38 
16-Jul-2019,Miền Trung,Gà Excel,SP 08, 45.90 
25-Jun-2019,Miền Nam,VNPT,SP 10, 110.00 
06-Dec-2019,Miền Bắc,Viettel,SP 04, 98.94 
26-Dec-2020,Miền Trung,FPT,SP 08, 45.90 
22-Feb-2020,Miền Nam,Gà Excel,SP 10, 27.23 
03-Dec-2020,Miền Trung,VNPT,SP 02, 438.90 
08-Dec-2019,Miền Nam,Viettel,SP 03, 100.00 
